,id,publication,title,author,date,body,Henk Bodrogi,Elian Karel,Silvia Marek,Mandor Vann,Isia Vann,Lucio Jakab,Lorenzo Di Stefano,POK,GAStech
77,168,Kronos Star,POK Protest at GAStech Headquarters Ends in Arrests,Marcella Trapani,2009-02-18,"ABILA, Kronos - Dozens of protesters attending a Protectors of Kronos (POK) rally in front of the GAStech regional headquarters in Abila were arrested for trespassing this morning. The POK rally was intended to draw attention to their claims of environmental damage being caused by the development of gas and oil fields around Kronos by foreign corporations like GAStech. About two hundred people gathered in front of the GAStech building chanting slogans and waving signs that held the visages of people who have allegedly died due to environmental contamination. Ten of the protestors chained themselves to the doors of the building in an attempt to prevent GAStech employees from going to work.
Police spokesman Adrien Carman said, ""We allowed the group some latitude with their rally, but when GAStech complained that the protestors were blocking entrance to their building, we had to take action. The last thing we wanted to happen was for a GAStech employee to get hurt by the crowd just because he was trying to go to work.""
The POK, once a small political activist group of citizens from the Elodis area, has been revitalization under the charismatic leadership of Elian Karel. Government spokesman Rufus Drymiau said of today's POK rally, ""We have been concerned by a pattern of increasingly aggressive tactics by the Protectors of Kronos for some time now. In light of today's incident, President Kapelou has ordered the police to provide additional protection for the public at future POK rallys.""",0,1,0,0,0,0,0,1,1
820,837,The Guide,The protest of POK in GAStech establishes headquarters of ends in haltings,,2009-02-19,"ABILA, Kronos - the protectors of the meeting of Kronos (POK) in front of the district headquarterses of GAStech in Abila arrested to the dozens of demonstrators taking care of to violate this morning. The POK meeting was thought to draw the attention to its demands of the environmental damage that was caused by the development of the deposits of the gas and petroleum around Kronos by foreign corporations like GAStech. Near two hundred people they collected in front of the samples of the mottos and shaking singing of the building of GAStech that maintained visages of the people who alleged have died due to the contamination of environment. Ten of protestors were chained to the doors of the building in an attempt to avoid that the employees of GAStech go to the work.
To clean to Carman de Adrien of spokesman said, ""not we prohibited to group certain latitude with his meeting, but that when GAStech complained which protestors blocked the entrance to their building, we had to take the action. The last thing that we wished to happen was so that an employee of GAStech obtains damage of the right crowd because he tried to go to work.""
The POK, once small political group of the activist of citizens of the area of Elodis, has been revitalización under charismatic direction of Elian Karel. The spokesman Rufus Drymiau of the government said of the meeting of today of POK, ""now we have been referred by a pattern of tactics more and more aggressive by the protectors of Kronos by a certain hour. To the light of today incident, president Kapelou has ordered police to provide the additional protection for the public in rallys future of POK.""",0,1,0,0,0,0,0,1,1
74,165,The Truth,Protest POK on the ends of the Hoofdkwartier GAStech in arrests,,2009-02-19,"ABILA, Kronos - Dozens protesters which guards of the collection Kronos (of POK became) attend for the regional hoofdkwartier GAStech in Abila arrested for violating vanochtend. The collection POK had been meant the attention on their requirements of environment damage which is caused to establish by the development of gas and oil areas around Kronos by foreign companies such as GAStech. Approximately two hundred people collected themselves for the GAStech construction chanting slogans and the undulating signs which loved visages people that according to reports because of environment pollution have died. Ten of protestors chained themselves to the doors of the bldg. in a attempt employees prevent GAStech will work.
Spokesman Adrien aforesaid Carman of the police force, we permitted the group one or other breadth with their collection, but when GAStech complained that protestors entrance to their construction blocked, we had demonstrate. The last thing which we have wanted to happen were for become to be hurt employee GAStech who by the mob only because he tried will work.
POK, once a small political activist group citizens of the area Elodis, stimulation under the charismatic control of Elian Karel has been. The spokesman Rufus Drymiau of the government aforesaid of the collection POK of today, we have been already some time concerned by a pattern of more and more aggressive tactic by the guards of Kronos. Given the incident of today, to president to Kapelou to the police force to offer rallies extra protection has commissioned POK future for public at.",0,1,0,0,0,0,0,1,1
788,808,Worldwise,The protest of POK at GAStech sits of the ends in the arrests,,2009-02-20,"ABILA, Kronos - dozen protesters being present guards of gathering of Kronos (POK) in front of the regional registered offices of GAStech in Abila was stopped for enfreindre this morning. The gathering of POK was designed to call the attention to their complaints of the environmental damage caused by the development of the oil and gas layers around Kronos by foreign companies like GAStech. Approximately two hundred people met in front of the signs of slogans and to undulate of song of building of GAStech which held the faces of the people who died allegedly because of the contamination of the environment. Tens of the protestateurs were connected with the doors of the building in order to try to prevent employees of GAStech from going to work.
To maintain order Carman of Adrien of spokesman said, ""us have allowed group certain latitude with their gathering, but when GAStech complained that the protestateurs blocked the entry with their building, we had to act. The last thing that we wanted to produce to us was so that an employee of GAStech obtains the evil by crowd right because it tried to go to work.""
The POK, once a small political group of activist of the citizens of the area of Elodis, was revitalization under the charismatic control of Elian Karel. The spokesman Rufus Drymiau of government said gathering of today of POK, ""we were concerned with a model of the increasingly aggressive tactic by the guards of Kronos during a certain time now. In the light of the incident of today, President Kapelou ordered the police force to assure additional protection for the public futures rallys of POK.""",0,1,0,0,0,0,0,1,1
716,743,Homeland Illumination,POK RALLY DRAWS THOUSANDS OF SUPPORTERS,Petrus Gerhard,2009-03-07,"ABILA, Kronos - Thousands of protesters carrying banners reading ""Remember Juliana!"" and chanting ""We want truth!"" rallied in front of the Kronos government offices Saturday morning. Protesters were demanding an accounting of the government revenues from then President Araullo's tax incentives that were signed into law in 1993.
Ten-year old Juliana Vann died in 1998 from an illness caused by contaminated water from GAStech drilling operations. She has become the heart-rending icon of a movement that has gained support from one end of Kronos to the other.
""We were promised better jobs, new roads, better healthcare and a better standard of living,"" said one 20-year old protestor who declined to have her name used. ""All I see are bigger mansions for the ministers and a hospital that costs more to fix than it can make. We won't accept that!""
The protestor was referring to Abila General Hospital built in 1997 ostensibly with money from the increased revenue from the foreign gas operations here on Kronos. The non-profit hospital has had difficulty maintaining its infrastructure, despite the extensive restoration performed sevearl years ago to replace the electrical and plumbing systems.
""The contracts were all given to family and cronies of the ministers,"" accuses 26-year old Jon L., who traveled six hours to attend yesterday's rally. ""What we need is transparency in our government. We need to know what happens to all the money coming in from these foreign companies.
Protest leader Elian Karel addressed the demonstrators at Abila City park. Karel took over POK leadership from Henk Bodrogi, whose ill health forced him down from the position. Karel spoke eloquently about the beginnings of the POK campaign as a grassroots effort for clean water, to the dynamic movement it has become demanding improved government transparency and accountability.
""We aren't asking for anything unreasonable,"" Karel speaks passionately to his ardent listeners. ""All we want is to know how our taxes are being used. We know these corporations are generating records profits at the expense of Kronos, but we see none of the promised improvements. All we want is accountability for those who died because of greed, corruption and disregard of those who they should be protecting.""
Calls to the President's office were not immediately returned.",1,1,0,0,0,0,0,1,1
457,51,Daily Pegasus,THE POK MEETING DRAWS THOUSANDS OF THOSE IN FAVOR,,2009-03-09,"ABILA, Kronos - the thousands of demonstrators who take the flags that read ""remember Julian"" and singing ""we wished truth"" reunited in front of the morning of Saturday of the governmental offices of Kronos. The demonstrators demanded an accounting of the yields of the then government of the fiscal incentives of president Araullo that were signed in law in 1993.
Of ten years - old Julian Vann died in 1998 of a disease caused by the contaminated water of the operations that they perforated of GAStech. She has made the icon heartrendering of a movement that has gained the aid from a end from Kronos to the other.
""They promised better works to Us, the new ways, healthcare better and a better standard to live,"" 20 years this - old protestor that declined to have its used name. ""All what I see is greater mansions for the ministers and a hospital that costs more to the adjustment than he can do. We will not accept that""
The protestor referred apparently to the general hospital of Abila constructed in 1997 with the money of the increasing yield of the foreign operations of the gas here in Kronos. The nonlucrative hospital has been having difficulty maintaining of its infrastructure, in spite of sevearl made extensive restoration for years to replace the electrical systems and that drilled.
""The contracts all were given to the family and the cronies of the ministers,"" accuse 26 years - old Jon L., that traveled six hours to take care of the meeting of yesterday. ""What we needed it is the transparency in our government. We need to know what happens to all the money that comes inside from these foreign companies.
The leader Elian Karel of the protest dealed with the demonstrators in the park the city of Abila. Karel assumed the control the direction of POK of Henk Bodrogi, that to bad forced it health under the position. Karel spoke eloquent on the principles of the campaign of POK like effort of the towns for the clean water, to the dynamic movement it has the improved transparency demanding turned and responsibility of the government.
""We are not requesting any desrazonable thing,"" Karel speaks enthusiastic to its ardent listeners. ""The only thing that we wished is to know are being used our taxes. We know that these corporations are generating benefits of the files to expenses of Kronos, but do not see no of the engaged improvements. The only thing that we wished is responsibility for that they died due to avarice, the corruption and the indifference of a that must protect.""
The calls to the office of the president were not returned immediately.",1,1,0,0,0,0,0,1,1
132,217,The Wrap,THE COLLECTION POK DRAWS THOUSANDS OF VERDEDIGERS,,2009-03-09,"ABILA, Kronos - thousands of protesters which carry banners that remind Juliana! to read and chanting we want truth! collected for the Kronos government offices Saturday morning. Protesters required an accountancy of the government turnovers of then the tax incentives of president Araullo's who was signed in law in 1993.
Of ten years - old Juliana Vann died in 1998, to a sickness which is caused by polluted water of boring GAStech verrichtingen. They heart-rending the pictogram of a movement which has reached support of one end of Kronos to other, has become.
We were promised better lanes, new ways, better health care and a better standard of living, said one 20 years - old protestor which decreased to have its used name. All to see I am larger lord houses for the ministers and the hospital which costs more to difficult situation than it can make. We that! to approve
Protestor referred to the general hospital Abila that in 1997, seemingly with money of the raised turnover of the foreign gasverrichtingen here on Kronos are built. The hospital has had difficulty which maintains its infrastructure, in spite of the vast restoration those sevearl years is carried out suffered for the elektro and plumber work systems to replace without winstbejag.
The contracts all were given to family and cronies of the ministers, 26 years accuse - old Jon L., which six hours reiste to attend collection yesterday. What we have necessary transparency in our government is. We must know what to already money happens that from these foreign comes commit.
LEADER Elian Karel of the protest aimed the demonstration systems at the park of the city Abila. Karel took over control POK of Henk Bodrogi, of which bad health forced him of the position. Karel spoke eloquently concerning the beginning of the campaign POK as a basis effort for clean water, to the dynamic movement demanding better government transparency and duty of responsibility have become.
We do not ask for unreasonably no matter what, Karel speak passionately to its enthusiastic auditors. We want all must know how our taxes are used. We know these companies report profits at the cost of Kronos produce, but we see none of promised improvements. All we want duty of responsibility for they that because of cupidity, corruption and veronachtzaming of them died which they would have protect.
The question to the office of the President had not immediately returned.",1,1,0,0,0,0,0,1,1
707,735,The Orb,THE GATHERING OF POK DRAWS THOUSANDS OF DEFENDERS,,2009-03-09,"ABILA, Kronos - the thousands of protesters carrying of the banners reading ""remember Juliana!"" and singing ""we want the truth!"" gathered in front of Kronos of government of offices Saturday morning. The protesters required an accountancy of the incomes of government then tax tax incentives of the President Araullo' S which were signed in the law in 1993.
From ten years - old man Juliana Vann died into 1998 of a disease caused by the soiled water of the operations of drilling of GAStech. It became the tearing icon of a movement which received the support of an end of Kronos to the other.
""We were promised best work, of new roads, better care of health and a better level the life,"" the aforementioned one 20 years - the old protestator who refused to make employ his name. ""All which I see are larger manors for the ministers and a hospital who cost the difficulty more than it can make. We will not accept that!""
The protestator referred to the hospital general of Abila builds in 1997 seemingly with money of the increased income of the foreign gas operations here on Kronos. The non-profit-making hospital had the difficulty of maintaining its infrastructure, in spite of the sevearl carried out by wide restoration years ago to replace the electric systems and putting balance.
""All the contracts were given to the family and the buddies ministers,"" shows 26 years - old man Jon L., who travelled during six hours to attend the gathering of yesterday. ""What we have need is transparency in our government. We must know what arrives at any entering money of these alien companies.
The Chief Elian Karel of protest addressed the demonstrators to the park of town of Abila. Karel ensured the control of POK of Henk Bodrogi, whose bad health forced to the bottom of the position. Karel spoke by eloquence about the beginnings about the countryside about POK like effort about bases for clean water, with the dynamic movement it has become demanding improved transparency and the responsibility for government.
""We do not ask anything not very reasonable,"" Karel speaks passionément with its burning listeners. ""Very that we want is of knowing our taxes are employed. We know that these companies produce benefit of discs at the expense of Kronos, but we let us not see any the promised improvements of it. Very that we want is responsibility for those which died because of avarice, the corruption and the negligence of those that they should protect.""
Calls to the office of the president were not immediately turned over.",1,1,0,0,0,0,0,1,1
802,820,Kronos Star,Activist Leader Karel Arrested for Tax Evasion,Marcella Trapani,2009-03-12,"ABILA, Kronos - Kronos police arrested Elian Karel today on charges of tax evasion. Karel, the leader of the activist group ""Protectors of Kronos"", was conducting a meeting with his supporters when he was arrested. Karel tried to make light of the situation, but his followers were clearly concerned about the seriousness of the charges leveled against him. Karel's lawyer, Michale Kraft, released a statement declaring that the charges against his client were false and that he hoped to have Karel released from police custody by week's end. In response to Kraft's statement, Police spokesman Adrien Carman said, ""I think Mr. Kraft has underestimated the seriousness of his client's situation."" It is clear that Elian Karel, who professes to have the interests of the people of Kronos at heart, must explain to us why he refuses to contribute to the welfare of his nation.",0,1,0,0,0,0,0,1,0
376,437,Homeland Illumination,POK LEADER KAREL ARRESTED,Petrus Gerhard,2009-03-12,"ABILA, Kronos - In another unconscionable move against the citizens of Kronos, earlier today police arrested POK leader Elian Karel on spurious tax evasion charges. He was led - manacled - from a meeting of the Protectors of Kronos in Elodis, a rural township west of Abila.
Demonstrating his trademark humor, Karel lifted his wrists and joked to his supporters as he is led away, ""I guess I shouldn't have sent the President those cases of bottled water for his birthday.""
Karel is the leader of the Protectors of Kronos, an alliance of Kronos citizens from Elodis that has demanded the government clean up the contaminated water caused by gas drilling in their community.
""We didn't ask for GAStech to come to our community,"" Karel spoke at a rally a few months ago. ""We didn't ask for our water to become undrinkable, for our children to become sick. Neither Elodis nor the people of Kronos have received any benefit from the extraordinarily large amount of money that GAStech clears every year. I ask: Where is the money going?""
The police representative assured supporters who massed outside the police station that Karel would be treated humanely, but declined to answer questions or allow visitors to see Karel.
""He's a determined man,"" Karel's attorney Michale Kraft told me over the phone. ""He'll fight these false charges and be out in a few days. He'll probably complain about the jail food at the next POK rally.""
Kraft plans to meet with Karel Saturday morning.
Calls to the President and Minister of Justice offices were not immediately returned.",0,1,0,0,0,0,0,1,1
