,id,publication,title,author,date,body,Henk Bodrogi,Elian Karel,Silvia Marek,Mandor Vann,Isia Vann,Lucio Jakab,Lorenzo Di Stefano,POK,GAStech
395,454,News Online Today,LEADERSHIP CHANGE FOR POK,,2009-06-21,"ABILA, Kronos – Following the unexpected death of Elian Karel, Silvia Marek has taken over the leadership role of the Protectors of Kronos. Elian Karel died while in police custody on 19 June.",0,1,1,0,0,0,0,1,0
455,508,Kronos Star,POK Protest at Abila Police Headquarters,Marcella Trapani,2010-06-20,"ABILA, Kronos - A Protectors of Kronos demonstration was held in front of Abila police headquarters yesterday morning. The POK had gathered in memorialize their former leader, Elian Karel, who died of natural causes in jail last year. POK supporters carried signs with pictures of Karel and Juliana Vann, chanted slogans, and lit candles.
The peaceful demonstration turned violent when two POK members accosted a man who attempted to enter the building on business. The POK members hit him with a bottle, which knocked him to the ground and gave him a bloody gash on his forehead. Abila police attempted to gain control of the situation by using bullhorns to call for the peaceful dispersal of the crowd, but the crowd responded to their calls by hurling insults along with a few rocks at the officers. Police used tear gas to end the gathering, but a handful of die-hard POK members urged the crowd into melee with the officers. Additional security forces had to be summoned to help contain the situation as the violence escalated. When the tear gas finally cleared, six POK member were arrested on charges of assault on civil authorities and inciting a crowd to violence. Three police officers were treated at Abila General Hospital for wounds received in the fight.
""We had been concerned that Silvia Marek's weak leadership is allowing the POK to be taken over by criminals and hooligans. Today's events show that our concerns were valid,"" said police spokesman Adrien Carman. Marek replaced Elian Karel as the popular figurehead of the POK movement last summer.",0,1,1,0,0,0,0,1,0
536,581,The Truth,Protest POK at the Hoofdkwartier of the police force Abila,,2010-06-22,"ABILA, Kronos - the guards were loved demonstration Kronos for Abila the morning the politiehoofdkwartier yesterday. POK within memorialize their former LEADER, Elian Karel had collected himself, who died previous year to natural causes in prison. Chanted the verdedigers behave signs POK with pictures of Karel and Juliana Vann, slogans, and strike candles to.
Peaceful demonstration twisted violently then two members POK people accosted who tried the bldg. matter discuss. The members POK touched him with a bottle, which him was correct to the ground and him cuts bloodily on its face gave. Police force of Abila tried control of the situation to use reach bullhorns the peaceful distribution of the mob to keep on asking, but the mob answered to their question by swinging rocks insults with a couple at the civil servants. The police force used himself traangas to conclude collecting, but hand-full tough members POK exhorted the mob in melee with the civil servants. Extra security strengths had be convened to help the situation to contain since violence lane. When the traangas definitively clearred, paragraph six POK was arrested on charges of attack on civil authorities and calling a mob to violence. Three police force civil servants were treated at the general hospital Abila for wounds which is received in the fight.
We had been concerned that the weak control of Silvia Marek's allows POK for concerning by criminals and hooligans are taken. The events of today tones to that our care, aforesaid police force spokesman Adrien Carman valid were. Marek replaced Elian Karel as popular figurehead of the movement POK the previous summer.",0,1,1,0,0,0,0,1,0
580,620,Worldwise,Protest of POK to the registered offices of police force of Abila,,2010-06-22,"ABILA, Kronos - guards of the demonstration of Kronos were held in front of registered offices of police force of Abila yesterday morning. The POK had collected inside memorialize their former chief, Elian Karel, which died last year of the normal causes in prison. The defenders of POK carried signs with images of Karel and of Juliana Vann, slogans sang, and lit candles.
The peaceful demonstration turned violent one when two members of POK approached a man who tried to enter the building on businesses. The members of POK struck it with a bottle, which struck it with the ground and gave him a bloody notch on its face. The police force of Abila tried to gain the ordering of the situation by using foghorns to claim the peaceful dispersion of crowd, but crowd answered their calls while launching insults with some rocks with the leaders. The police force was accustomed to the teargas to finish the gathering, but a handle of preserving members of POK pushed crowd in the fray with the leaders. Additional safety forces had to be called with the assistance contain the situation while violence climbed. When the teargas finally got clear, the member of six POK were stopped on expenses of attack on civil authorities and to incite a crowd with violence. Three leaders of police force were treated with the hospital general of Abila for wounds received in the combat.
""We had been concerned that the weak control of Silvia Marek makes it possible to the POK to be succeeded by criminals and hooligans. The events of today show that our concern was valid,"" the aforementioned Carman d' Adrien of spokesman of police force. Marek replaced Elian Karel as popular figurehead of the movement of POK the last summer.",0,1,1,0,0,0,0,1,0
635,670,The Guide,Protest of POK in the headquarters of the police of Abila,,2010-06-22,"ABILA, Kronos - the protectors of the demonstration of Kronos were carried out in front of headquarters of the police of Abila yesterday in the morning. The POK had collected inside memorialize to their previous leader, Elian Karel, that died of natural causes in jail the last year. POK those in favor took samples with the pictures of Karel and of Julian Vann, they sang mottos, and they ignited candles.
The pacific demonstration gave violent return when two members of POK approached man whom it tried to enter the building in business. The members of struck it to POK with a bottle, struck that it to the Earth and it gave a bloody incision him in his front. The police of Abila tried to gain the control of the situation being used bullhorns to call for the pacific dispersion of the crowd, but the crowd responded to its calls sending insults along with some rocks in the officials. The police used the tear gas to finish the meeting, but a handful of members die-hard of POK impelled to crowd in melee with the officials. The additional security force had to be summoned to the aid contains the situation whereas the violence extended. When the tear gas finally cleared, they arrested to the member of six POK in loads of assault in civilian authorities and the incitación of a crowd to the violence. They treated to three officials of police in the general hospital of Abila for the received wounds in the fight.
""We had been referred that the weak direction of Silvia Marek is allowing that the POK was assumed the control by the criminals and the gamberros. The today events demonstrate that our preoccupations were valid,"" to said Carman of Adrien of the spokesman of the police. Marek replaced Elian Karel like figurehead popular of the POK movement the last summer.",0,1,1,0,0,0,0,1,0
41,135,All News Today,RALLY SCHEDULED IN SUPPORT OF INCREASED GOVERNMENT ACCOUNTABILITY,,2012-04-09,"ABILA, Kronos - Silvia Marek, leader of the Protectors of Kronos social action organization is appealing to the citizens of Kronos to join her for a day of peaceful protest tomorrow. Marek asks all concerned citizens to join her to bring awareness to the problem of political corruption and favoritism pervasive in the offices of the government of Kronos.
""I'm calling for an end to the heinous corruption, the nepotism and the favoritism displayed by our elected officials.",0,0,1,0,0,0,0,1,0
288,358,Homeland Illumination,RALLY SCHEDULED IN SUPPORT OF INCREASED GOVERNMENT ACCOUNTABILITY,Maha Salo,2012-04-09,"ABILA, Kronos - Silvia Marek, leader of the Protectors of Kronos social action organization is appealing to the citizens of Kronos to join her for a day of peaceful protest tomorrow. Marek asks all concerned citizens to join her to bring awareness to the problem of political corruption and favoritism pervasive in the offices of the government of Kronos.
""I'm calling for an end to the heinous corruption, the nepotism and the favoritism displayed by our elected officials. They [the officials] need to hear our voice and know that we demand change now.
The rally will be held in the Elodis city park at noon.",0,0,1,0,0,0,0,1,0
351,414,News Online Today,RALLY SCHEDULED IN SUPPORT OF INCREASED GOVERNMENT ACCOUNTABILITY,,2012-04-10,"ABILA, Kronos - Silvia Marek, leader of the Protectors of Kronos social action organization is appealing to the citizens of Kronos to join her for a day of peaceful protest tomorrow.",0,0,1,0,0,0,0,1,0
156,239,The Orb,GATHERING PROGRAMMED IN SUPPORT OF THE RESPONSIBILITY INCREASED FOR GOVERNMENT,,2012-04-10,"ABILA, Kronos - Silvia Marek, chief of the guards of the social organization of action of Kronos calls upon the citizens of Kronos to join it during one day of peaceful protest tomorrow. Marek requires of all the interested citizens to join it to bring the conscience to the problem of the political corruption and favoritism dominant in the offices of the government of Kronos.
""I claim an end with the ashamed corruption, the nepotism and favoritism shown by our elected civils servant. They [civils servant] must hear our voice and know that we require the change now.
The gathering will be held in park of town of Elodis at midday.",0,0,1,0,0,0,0,0,0
749,773,Daily Pegasus,MEETING TO PROGRAM IN SUPPORT OF INCREASING RESPONSIBILITY OF THE GOVERNMENT,,2012-04-10,"ABILA, Kronos - Silvia Marek, leader of the protectors of the social organization of the action of Kronos is repealing the citizens of Kronos to assemble it by a day of the pacific protest morning. Marek requests that all the citizens assemble at issue it to bring knowledge to the problem of penetrating the political corruption and favoritism in the offices of the government of Kronos.
""I am calling for an end to the atrocious corruption, the nepotism and favoritism exhibited by our chosen civil employees. [The civil employees] need to hear our voice and knowledge that now we demanded the change.
The meeting will be held in the park of the city of Elodis at noon.",0,0,1,0,0,0,0,0,0
121,207,The Wrap,COLLECTION WHICH IS PLANNED TO SUPPORT OF THE RAISED DUTY OF RESPONSIBILITY OF THE GOVERNMENT,,2012-04-11,"ABILA, Kronos - Silvia Marek, LEADER of the guards of Kronos social action organization is connect himself appealing on the citizens of Kronos at her for a day of peaceful protest tomorrow. Marek ask all connect itself citizens concerned at her to bring political corruption and favoritism information to the problem of penetrating in the offices of the government of Kronos.
I request corruption, favoritism and favoritism to an end to the heinous which is shown by our preferred civil servants. They [the civil servants] must hear our voice and know that we require change now.
The collection will be kept in the Elodis town park at afternoon.",0,0,1,0,0,0,0,0,0
90,18,Homeland Illumination,POK REMEMBERS MARTYRED LEADER,Petrus Gerhard,2012-06-20,"ABILA, Kronos - In a touching ceremony Wednesday leaders of the activist group Protectors of Kronos paid tribute to their fallen leader, Elian Karel, who was murdered on 19 June 2009 while being illegally detained in a Kronos jail.
""Today we gather to remember Elian Karel,"" Silvia Marek told the rapt assembly, many of whom held up white candles in Karel's honor.
""Elian was born on an Elodis farm not 40 minutes from here, to Jeroen and Antaura Karel. He grew up with the specter of death all around him. By the time Elian was 17 many of his family members and friends were battling constant illness, including his neighbor 10-year old Juliana Vann.""
Marek paused a moment to allow the cries of ""Remember Juliana!"" to fade.
""Elian devoted his life to the people of Elodis as well as all citizens of Kronos, as did his father before him. Elian knew his would be a difficult journey. He had watched his father, Jeroen and the founder of the POK, Henk Bodrogi walk the very path he would tread. Elian knew the course would not be easy, and would leave little time for a personal life. Yet he chose to take those steps despite the challenges he knew he would face.""
""Elian's journey ended three years ago today. But his dream did not die with him. And it is that vision of a healthy and prosperous future for all we are here today to honor.""
Over the course of the afternoon several other speakers paid tribute to not only Elian, but all who have been victims of the environmental catastrophe brought about by greed and corruption of public officials.
The gathering was marred only by the aggravating presence of Abila police in riot gear. The police agitated many of the crowd, causing them to have to leave the assembly rather than be assailed with batons and pepper spray.",1,1,1,0,0,0,0,1,0
524,570,News Online Today,POK REMEMBERS MARTYRED LEADER,,2012-06-20,"ABILA, Kronos - In a touching ceremony Wednesday leaders of the activist group Protectors of Kronos paid tribute to their fallen leader, Elian Karel, who was murdered on 19 June 2009 while being illegally detained in a Kronos jail.
""Today we gather to remember Elian Karel,"" Silvia Marek told the rapt assembly, many of whom held up white candles in Karel's honor. By the time Elian was 17 many of his family members and friends were battling constant illness, including his neighbor 10-year old Juliana Vann."" Elian knew his would be a difficult journey. Elian knew the course would not be easy, and would leave little time for a personal life.",0,1,1,0,0,0,0,1,0
